Datetime,Hashrate
2025-06-24 00:00:00,14.028
2025-06-24 01:00:00,14.140
2025-06-24 02:00:00,14.213
2025-06-24 03:00:00,13.776
2025-06-24 04:00:00,13.712
2025-06-24 05:00:00,13.592
2025-06-24 06:00:00,13.367
2025-06-24 07:00:00,13.389
2025-06-24 08:00:00,13.480
2025-06-24 09:00:00,13.296
2025-06-24 10:00:00,13.471
2025-06-24 11:00:00,13.450
2025-06-24 12:00:00,13.259
2025-06-24 13:00:00,13.580
2025-06-24 14:00:00,13.439
2025-06-24 15:00:00,13.327
2025-06-24 16:00:00,13.475
2025-06-24 17:00:00,13.433
2025-06-24 18:00:00,13.026
2025-06-24 19:00:00,13.582
2025-06-24 20:00:00,13.487
2025-06-24 21:00:00,13.522
2025-06-24 22:00:00,13.861
2025-06-24 23:00:00,13.881
2025-06-25 00:00:00,13.950
2025-06-25 01:00:00,14.004
2025-06-25 02:00:00,13.834
2025-06-25 03:00:00,14.101
2025-06-25 04:00:00,14.070
2025-06-25 05:00:00,14.514
2025-06-25 06:00:00,15.235
2025-06-25 07:00:00,15.544
2025-06-25 08:00:00,16.420
2025-06-25 09:00:00,16.514
2025-06-25 10:00:00,16.560
2025-06-25 11:00:00,16.102
2025-06-25 12:00:00,16.347
2025-06-25 13:00:00,16.102
2025-06-25 14:00:00,15.196
2025-06-25 15:00:00,15.074
2025-06-25 16:00:00,14.720
2025-06-25 17:00:00,14.500
