Datetime,Hashrate
2025-07-03 02:00:00,5.213
2025-07-03 03:00:00,5.256
2025-07-03 04:00:00,5.294
2025-07-03 05:00:00,5.325
2025-07-03 06:00:00,5.379
2025-07-03 07:00:00,5.357
2025-07-03 08:00:00,5.373
2025-07-03 09:00:00,5.234
2025-07-03 10:00:00,5.243
2025-07-03 11:00:00,5.200
2025-07-03 12:00:00,5.213
2025-07-03 13:00:00,5.200
2025-07-03 14:00:00,5.240
2025-07-03 15:00:00,5.352
2025-07-03 16:00:00,5.246
2025-07-03 17:00:00,5.363
2025-07-03 18:00:00,5.355
2025-07-03 19:00:00,5.406
2025-07-03 20:00:00,5.408
2025-07-03 21:00:00,5.361
2025-07-03 22:00:00,5.423
2025-07-03 23:00:00,5.428
2025-07-04 00:00:00,5.389
2025-07-04 01:00:00,5.315
2025-07-04 02:00:00,5.303
2025-07-04 03:00:00,5.264
2025-07-04 04:00:00,5.277
2025-07-04 05:00:00,5.304
2025-07-04 06:00:00,5.285
2025-07-04 07:00:00,5.229
2025-07-04 08:00:00,5.274
2025-07-04 09:00:00,5.277
2025-07-04 10:00:00,5.221
2025-07-04 11:00:00,5.190
2025-07-04 12:00:00,5.217
2025-07-04 13:00:00,5.225
2025-07-04 14:00:00,5.130
2025-07-04 15:00:00,5.093
2025-07-04 16:00:00,5.153
2025-07-04 17:00:00,5.223
2025-07-04 18:00:00,5.151
2025-07-04 19:00:00,5.018
2025-07-04 20:00:00,5.052
2025-07-04 21:00:00,5.117
2025-07-04 22:00:00,5.099
2025-07-04 23:00:00,5.084
2025-07-05 00:00:00,5.052
2025-07-05 01:00:00,4.956
2025-07-05 02:00:00,5.042
2025-07-05 03:00:00,4.963
2025-07-05 04:00:00,4.975
2025-07-05 05:00:00,4.852
2025-07-05 06:00:00,4.842
2025-07-05 07:00:00,4.854
2025-07-05 08:00:00,4.843
2025-07-05 09:00:00,4.807
2025-07-05 10:00:00,4.817
2025-07-05 11:00:00,4.851
2025-07-05 12:00:00,4.930
2025-07-05 13:00:00,5.023
2025-07-05 14:00:00,5.027
2025-07-05 15:00:00,5.128
2025-07-05 16:00:00,5.190
2025-07-05 17:00:00,5.129
2025-07-05 18:00:00,5.143
2025-07-05 19:00:00,5.165
2025-07-05 20:00:00,5.275
2025-07-05 21:00:00,5.280
2025-07-05 22:00:00,5.245
2025-07-05 23:00:00,5.447
2025-07-06 00:00:00,5.518
2025-07-06 01:00:00,5.602
2025-07-06 02:00:00,5.484
2025-07-06 03:00:00,5.405
2025-07-06 04:00:00,5.570
2025-07-06 05:00:00,5.558
2025-07-06 06:00:00,5.493
2025-07-06 07:00:00,5.467
2025-07-06 08:00:00,5.417
2025-07-06 09:00:00,5.399
2025-07-06 10:00:00,5.387
2025-07-06 11:00:00,5.346
2025-07-06 12:00:00,5.329
2025-07-06 13:00:00,5.430
2025-07-06 14:00:00,5.309
2025-07-06 15:00:00,5.316
2025-07-06 16:00:00,5.336
2025-07-06 17:00:00,5.269
2025-07-06 18:00:00,5.236
2025-07-06 19:00:00,5.320
2025-07-06 20:00:00,5.292
2025-07-06 21:00:00,5.217
2025-07-06 22:00:00,5.046
2025-07-06 23:00:00,4.973
2025-07-07 00:00:00,5.047
2025-07-07 01:00:00,4.964
2025-07-07 02:00:00,5.071
2025-07-07 03:00:00,5.033
2025-07-07 04:00:00,5.072
2025-07-07 05:00:00,5.058
2025-07-07 06:00:00,4.911
2025-07-07 07:00:00,4.949
2025-07-07 08:00:00,4.819
2025-07-07 09:00:00,4.781
2025-07-07 10:00:00,4.810
2025-07-07 11:00:00,4.957
2025-07-07 12:00:00,4.923
2025-07-07 13:00:00,4.925
2025-07-07 14:00:00,4.987
2025-07-07 15:00:00,5.007
2025-07-07 16:00:00,4.941
2025-07-07 17:00:00,4.848
2025-07-07 18:00:00,4.812
2025-07-07 19:00:00,4.896
2025-07-07 20:00:00,4.938
2025-07-07 21:00:00,4.834
2025-07-07 22:00:00,4.775
2025-07-07 23:00:00,4.787
2025-07-08 00:00:00,4.762
2025-07-08 01:00:00,4.616
2025-07-08 02:00:00,4.653
2025-07-08 03:00:00,4.644
2025-07-08 04:00:00,4.576
2025-07-08 05:00:00,4.653
2025-07-08 06:00:00,4.700
2025-07-08 07:00:00,4.620
2025-07-08 08:00:00,4.582
2025-07-08 10:00:00,4.562
2025-07-08 14:00:00,4.590
2025-07-08 15:00:00,4.540
2025-07-08 16:00:00,4.597
2025-07-08 17:00:00,4.702
2025-07-08 18:00:00,4.658
2025-07-08 19:00:00,4.753
2025-07-08 20:00:00,4.874
2025-07-08 21:00:00,4.999
2025-07-08 22:00:00,5.007
2025-07-08 23:00:00,5.021
2025-07-09 00:00:00,5.076
2025-07-09 01:00:00,5.083
2025-07-09 02:00:00,5.074
2025-07-09 03:00:00,4.998
2025-07-09 04:00:00,4.952
2025-07-09 05:00:00,4.953
2025-07-09 06:00:00,4.933
2025-07-09 07:00:00,4.936
2025-07-09 08:00:00,4.886
2025-07-09 09:00:00,5.076
2025-07-09 10:00:00,5.085
2025-07-09 11:00:00,5.008
2025-07-09 12:00:00,5.028
2025-07-09 13:00:00,5.081
2025-07-09 14:00:00,5.050
2025-07-09 15:00:00,4.941
2025-07-09 16:00:00,4.883
2025-07-09 17:00:00,4.901
2025-07-09 18:00:00,4.951
2025-07-09 19:00:00,4.973
2025-07-09 20:00:00,4.912
2025-07-09 21:00:00,4.878
2025-07-09 22:00:00,4.877
2025-07-09 23:00:00,4.921
2025-07-10 00:00:00,4.996
